Biker_Age,Biker_Occupation,Biker_Education_Level,Riding_Experience,Daily_Travel_Distance,Talk_While_Riding,Smoke_While_Riding,Wearing_Helmet,Motorcycle_Ownership,Valid_Driving_License,Bike_Condition,Road_Type,Road_condition,Weather,Time_of_Day,Traffic_Density,Speed_Limit,Bike_Speed,Number_of_Vehicles,Biker_Alcohol,Accident_Severity
21,Student,Above high school,4,26,Never,Never,Yes,Bought with own money,No,Old,City Road,Wet,Rainy,Afternoon,2,70,79,3,0,Moderate Accident
29,Student,Above high school,0,39,Regularly,Sometimes,No,Bought with own money,No,New,City Road,Dry,Clear,Noon,5,70,119,3,0,Moderate Accident
18,Student,Above high school,5,2,Regularly,Never,No,Inherited,Yes,Old,City Road,Dry,Foggy,Afternoon,2,70,70,1,0,Moderate Accident
24,Student,Above high school,4,46,Never,Sometimes,No,Bought with own money,No,Old,City Road,Wet,Rainy,Evening,3,70,83,2,0,Moderate Accident
18,Student,Above high school,1,12,Never,Never,No,Inherited,Yes,New,City Road,Dry,Clear,Morning,8,70,75,1,1,Moderate Accident
24,Student,Above high school,5,31,Regularly,Sometimes,Yes,Inherited,No,Old,City Road,Dry,Foggy,Afternoon,6,70,93,2,0,Moderate Accident
24,Student,Above high school,0,21,Never,Never,No,Bought with own money,No,New,City Road,Wet,Rainy,Night,6,70,101,3,0,Moderate Accident
20,Student,Above high school,4,16,Regularly,Sometimes,No,Bought with own money,Yes,Old,City Road,Dry,Clear,Afternoon,2,70,67,1,0,Moderate Accident
28,Student,Above high school,3,4,Regularly,Never,Yes,Bought with own money,No,Old,City Road,Dry,Foggy,Noon,4,70,103,2,0,Moderate Accident
15,Student,Above high school,3,34,Never,Sometimes,No,Bought with own money,Yes,New,City Road,Wet,Rainy,Afternoon,3,70,103,1,0,Moderate Accident
23,Student,Above high school,1,27,Never,Never,No,Inherited,No,Old,City Road,Dry,Clear,Morning,6,70,89,1,0,Moderate Accident
15,Student,Above high school,5,20,Regularly,Sometimes,No,Bought with own money,No,New,City Road,Dry,Foggy,Afternoon,4,70,110,3,0,Moderate Accident
29,Student,Above high school,0,12,Never,Never,No,Inherited,Yes,Old,City Road,Wet,Rainy,Night,3,70,112,1,0,Moderate Accident
22,Student,Above high school,0,14,Regularly,Sometimes,Yes,Inherited,No,Old,City Road,Dry,Clear,Afternoon,7,70,89,1,0,Moderate Accident
15,Student,Above high school,1,17,Regularly,Never,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Noon,2,70,69,1,0,Moderate Accident
26,Student,Above high school,2,38,Never,Sometimes,No,Bought with own money,No,Old,City Road,Wet,Rainy,Afternoon,3,70,71,3,0,Moderate Accident
16,Student,Above high school,2,22,Never,Never,Yes,Bought with own money,No,New,City Road,Dry,Clear,Evening,2,70,120,3,0,Moderate Accident
22,Student,Above high school,1,13,Regularly,Sometimes,No,Bought with own money,Yes,Old,City Road,Dry,Foggy,Morning,2,70,67,1,1,Moderate Accident
25,Student,Above high school,1,49,Never,Never,No,Inherited,No,Old,City Road,Wet,Rainy,Afternoon,3,70,75,1,0,Moderate Accident
18,Student,Above high school,3,8,Regularly,Sometimes,No,Bought with own money,Yes,New,City Road,Dry,Clear,Night,2,70,95,2,0,Moderate Accident
29,Student,Above high school,4,50,Regularly,Never,No,Inherited,No,Old,City Road,Dry,Foggy,Afternoon,3,70,82,2,0,Moderate Accident
17,Student,Above high school,0,2,Never,Sometimes,Yes,Inherited,No,New,City Road,Wet,Rainy,Noon,4,70,91,1,0,Moderate Accident
28,Student,Above high school,5,15,Never,Never,No,Bought with own money,Yes,Old,City Road,Dry,Clear,Afternoon,6,70,100,2,0,Moderate Accident
29,Student,Above high school,4,27,Regularly,Sometimes,No,Bought with own money,No,Old,City Road,Dry,Foggy,Morning,8,70,106,1,0,Moderate Accident
16,Student,Above high school,1,13,Never,Never,Yes,Bought with own money,Yes,New,City Road,Wet,Rainy,Afternoon,3,70,89,3,0,Moderate Accident
21,Student,Above high school,3,28,Regularly,Sometimes,No,Bought with own money,No,Old,City Road,Dry,Clear,Night,2,70,117,2,0,Moderate Accident
19,Student,Above high school,4,27,Regularly,Never,No,Inherited,No,New,City Road,Dry,Foggy,Afternoon,1,70,65,2,0,Moderate Accident
25,Student,Above high school,4,5,Never,Sometimes,No,Bought with own money,Yes,Old,City Road,Wet,Rainy,Noon,8,70,85,3,0,Moderate Accident
28,Student,Above high school,2,26,Never,Never,No,Inherited,No,Old,City Road,Dry,Clear,Afternoon,3,70,105,2,0,Moderate Accident
17,Student,Above high school,0,26,Regularly,Sometimes,Yes,Inherited,Yes,New,City Road,Dry,Foggy,Evening,7,70,113,2,0,Moderate Accident
19,Student,Above high school,2,11,Never,Never,No,Bought with own money,No,Old,City Road,Wet,Rainy,Morning,2,70,94,1,0,Moderate Accident
23,Student,Above high school,5,46,Regularly,Sometimes,No,Bought with own money,No,New,City Road,Dry,Clear,Afternoon,2,70,103,2,0,Moderate Accident
23,Student,Above high school,4,23,Regularly,Never,Yes,Bought with own money,Yes,Old,City Road,Dry,Foggy,Night,2,70,76,3,0,Moderate Accident
19,Student,Above high school,3,29,Never,Sometimes,No,Bought with own money,No,Old,City Road,Wet,Rainy,Afternoon,7,70,120,2,0,Moderate Accident
24,Student,Above high school,1,31,Never,Never,No,Inherited,Yes,New,City Road,Dry,Clear,Noon,3,70,109,2,0,Moderate Accident
24,Student,Above high school,2,38,Regularly,Sometimes,No,Bought with own money,No,Old,City Road,Dry,Foggy,Afternoon,6,70,94,3,0,Moderate Accident
17,Student,Above high school,3,12,Never,Never,No,Inherited,No,New,City Road,Wet,Rainy,Morning,7,70,95,2,0,Moderate Accident
21,Student,Above high school,2,1,Regularly,Sometimes,Yes,Inherited,Yes,Old,City Road,Dry,Clear,Afternoon,3,70,92,3,0,Moderate Accident
22,Student,Above high school,5,25,Regularly,Never,No,Bought with own money,No,Old,City Road,Dry,Foggy,Night,3,70,74,2,0,Moderate Accident
20,Student,Above high school,0,33,Never,Sometimes,No,Bought with own money,Yes,New,City Road,Wet,Rainy,Afternoon,1,70,84,2,0,Moderate Accident
29,Student,Above high school,4,40,Never,Never,Yes,Bought with own money,No,Old,City Road,Dry,Clear,Noon,5,70,111,2,0,Moderate Accident
25,Student,Above high school,5,5,Regularly,Sometimes,No,Bought with own money,No,New,City Road,Dry,Foggy,Afternoon,3,70,78,2,0,Moderate Accident
24,Student,Above high school,0,27,Never,Never,No,Inherited,Yes,Old,City Road,Wet,Rainy,Evening,1,70,72,1,0,Moderate Accident
17,Student,Above high school,5,29,Regularly,Sometimes,No,Bought with own money,No,Old,City Road,Dry,Clear,Morning,7,70,79,3,0,Moderate Accident
23,Student,Above high school,5,31,Regularly,Never,No,Inherited,Yes,New,City Road,Dry,Foggy,Afternoon,5,70,120,3,0,Moderate Accident
22,Student,Above high school,3,2,Never,Sometimes,Yes,Inherited,No,Old,City Road,Wet,Rainy,Night,8,70,109,3,0,Moderate Accident
25,Student,Above high school,1,2,Never,Never,No,Bought with own money,No,New,City Road,Dry,Clear,Afternoon,5,70,120,3,0,Moderate Accident
30,Student,Above high school,5,10,Regularly,Sometimes,No,Bought with own money,Yes,Old,City Road,Dry,Foggy,Noon,5,70,93,3,0,Moderate Accident
23,Student,Above high school,2,14,Never,Never,Yes,Bought with own money,No,Old,City Road,Wet,Rainy,Afternoon,2,70,71,2,0,Moderate Accident
26,Student,Above high school,1,46,Regularly,Sometimes,No,Bought with own money,Yes,New,City Road,Dry,Clear,Morning,4,70,89,1,1,Moderate Accident
28,Student,Above high school,0,44,Regularly,Never,No,Inherited,No,Old,City Road,Dry,Foggy,Afternoon,4,70,65,2,0,Moderate Accident
30,Student,Above high school,5,38,Never,Sometimes,No,Bought with own money,No,New,City Road,Wet,Rainy,Night,4,70,100,3,0,Moderate Accident
27,Student,Above high school,1,18,Never,Never,No,Inherited,Yes,Old,City Road,Dry,Clear,Afternoon,5,70,78,3,0,Moderate Accident
25,Student,Above high school,2,16,Regularly,Sometimes,Yes,Inherited,No,Old,City Road,Dry,Foggy,Noon,3,70,106,3,0,Moderate Accident
28,Student,Above high school,4,3,Never,Never,No,Bought with own money,Yes,New,City Road,Wet,Rainy,Afternoon,4,70,82,3,0,Moderate Accident
17,Student,Above high school,5,6,Regularly,Sometimes,No,Bought with own money,No,Old,City Road,Dry,Clear,Evening,4,70,101,3,0,Moderate Accident
15,Student,Above high school,3,8,Regularly,Never,Yes,Bought with own money,No,New,City Road,Dry,Foggy,Morning,4,70,116,1,0,Moderate Accident
17,Student,Above high school,1,39,Never,Sometimes,No,Bought with own money,Yes,Old,City Road,Wet,Rainy,Afternoon,8,70,75,1,0,Moderate Accident
24,Student,Above high school,0,2,Never,Never,No,Inherited,No,Old,City Road,Dry,Clear,Night,6,70,88,2,0,Moderate Accident
23,Student,Above high school,2,46,Regularly,Sometimes,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Afternoon,1,70,78,2,0,Moderate Accident
28,Student,Above high school,1,40,Never,Never,No,Inherited,No,Old,City Road,Wet,Rainy,Noon,3,70,105,3,0,Moderate Accident
30,Student,Above high school,2,17,Regularly,Sometimes,Yes,Inherited,No,New,City Road,Dry,Clear,Afternoon,3,70,115,3,0,Moderate Accident
18,Student,Above high school,4,0,Regularly,Never,No,Bought with own money,Yes,Old,City Road,Dry,Foggy,Morning,6,70,71,3,0,Moderate Accident
23,Student,Above high school,5,22,Never,Sometimes,No,Bought with own money,No,Old,City Road,Wet,Rainy,Afternoon,6,70,92,3,0,Moderate Accident
15,Student,Above high school,4,26,Never,Never,Yes,Bought with own money,Yes,New,City Road,Dry,Clear,Night,3,70,99,1,0,Moderate Accident
18,Student,Above high school,1,41,Regularly,Sometimes,No,Bought with own money,No,Old,City Road,Dry,Foggy,Afternoon,4,70,116,3,0,Moderate Accident
22,Student,Above high school,3,43,Never,Never,No,Inherited,No,New,City Road,Wet,Rainy,Noon,4,70,82,2,0,Moderate Accident
15,Student,Above high school,5,21,Regularly,Sometimes,No,Bought with own money,Yes,Old,City Road,Dry,Clear,Afternoon,7,70,83,3,0,Moderate Accident
30,Student,Above high school,1,11,Regularly,Never,No,Inherited,No,Old,City Road,Dry,Foggy,Evening,1,70,69,3,0,Moderate Accident
25,Student,Above high school,3,26,Never,Sometimes,Yes,Inherited,Yes,New,City Road,Wet,Rainy,Morning,8,70,83,1,0,Moderate Accident
28,Student,Above high school,5,1,Never,Never,No,Bought with own money,No,Old,City Road,Dry,Clear,Afternoon,1,70,65,2,0,Moderate Accident
29,Student,Above high school,1,30,Regularly,Sometimes,No,Bought with own money,No,New,City Road,Dry,Foggy,Night,7,70,95,3,0,Moderate Accident
21,Student,Above high school,5,31,Never,Never,Yes,Bought with own money,Yes,Old,City Road,Wet,Rainy,Afternoon,7,70,107,1,0,Moderate Accident
21,Student,Above high school,2,16,Regularly,Sometimes,No,Bought with own money,No,Old,City Road,Dry,Clear,Noon,3,70,98,2,0,Moderate Accident
25,Student,Above high school,5,9,Regularly,Never,No,Inherited,Yes,New,City Road,Dry,Foggy,Afternoon,2,70,75,3,0,Moderate Accident
30,Student,Above high school,2,28,Never,Sometimes,No,Bought with own money,No,Old,City Road,Wet,Rainy,Morning,3,70,82,1,0,Moderate Accident
30,Student,Above high school,0,41,Never,Never,No,Inherited,No,New,City Road,Dry,Clear,Afternoon,3,70,100,2,0,Moderate Accident
21,Student,Above high school,5,42,Regularly,Sometimes,Yes,Inherited,Yes,Old,City Road,Dry,Foggy,Night,1,70,97,2,0,Moderate Accident
30,Student,Above high school,1,15,Never,Never,No,Bought with own money,No,Old,City Road,Wet,Rainy,Afternoon,2,70,107,3,0,Moderate Accident
21,Student,Above high school,1,40,Regularly,Sometimes,No,Bought with own money,Yes,New,City Road,Dry,Clear,Noon,2,70,102,2,0,Moderate Accident
21,Student,Above high school,3,9,Regularly,Never,Yes,Bought with own money,No,Old,City Road,Dry,Foggy,Afternoon,8,70,102,2,0,Moderate Accident
29,Student,Above high school,1,20,Never,Sometimes,No,Bought with own money,No,New,City Road,Wet,Rainy,Evening,1,70,82,1,0,Moderate Accident
19,Student,Above high school,1,43,Never,Never,No,Inherited,Yes,Old,City Road,Dry,Clear,Morning,8,70,110,1,0,Moderate Accident
25,Student,Above high school,4,1,Regularly,Sometimes,No,Bought with own money,No,Old,City Road,Dry,Foggy,Afternoon,8,70,117,3,0,Moderate Accident
29,Student,Above high school,2,16,Never,Never,No,Inherited,Yes,New,City Road,Wet,Rainy,Night,6,70,111,2,0,Moderate Accident
16,Student,Above high school,1,11,Regularly,Sometimes,Yes,Inherited,No,Old,City Road,Dry,Clear,Afternoon,1,70,106,3,0,Moderate Accident
25,Student,Above high school,3,48,Regularly,Never,No,Bought with own money,No,New,City Road,Dry,Foggy,Noon,8,70,80,1,0,Moderate Accident
15,Student,Above high school,2,10,Never,Sometimes,No,Bought with own money,Yes,Old,City Road,Wet,Rainy,Afternoon,5,70,120,3,0,Moderate Accident
27,Student,Above high school,3,37,Never,Never,Yes,Bought with own money,No,Old,City Road,Dry,Clear,Morning,3,70,75,2,0,Moderate Accident
17,Student,Above high school,5,48,Regularly,Sometimes,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Afternoon,6,70,75,1,0,Moderate Accident
21,Student,Above high school,2,23,Never,Never,No,Inherited,No,Old,City Road,Wet,Rainy,Night,8,70,119,1,0,Moderate Accident
20,Student,Above high school,1,16,Regularly,Sometimes,No,Bought with own money,No,New,City Road,Dry,Clear,Afternoon,2,70,100,1,0,Moderate Accident
48,Service,Above high school,11,92,Regularly,Never,No,Inherited,Yes,Old,City Road,Dry,Foggy,Noon,3,50,42,1,0,Moderate Accident
64,Service,Above high school,12,43,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,City Road,Wet,Rainy,Afternoon,3,60,46,1,0,Moderate Accident
50,Service,Above high school,8,95,Sometimes,Never,Yes,Bought with own money,Yes,New,City Road,Dry,Clear,Evening,3,50,37,3,1,Moderate Accident
33,Service,Above high school,9,93,Sometimes,Sometimes,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Morning,5,40,30,1,0,Moderate Accident
37,Service,Above high school,9,65,Sometimes,Never,Yes,Bought with own money,Yes,New,City Road,Wet,Rainy,Afternoon,4,50,43,3,0,Moderate Accident
56,Service,Above high school,12,95,Sometimes,Sometimes,Yes,Inherited,Yes,Old,City Road,Dry,Clear,Night,1,40,25,1,0,Moderate Accident
31,Service,Above high school,7,68,Never,Never,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Afternoon,6,50,50,1,0,Moderate Accident
43,Service,Above high school,4,35,Sometimes,Sometimes,Yes,Bought with own money,No,Old,City Road,Wet,Rainy,Noon,5,50,43,1,0,Moderate Accident
28,Service,Above high school,3,93,Sometimes,Never,Yes,Bought with own money,Yes,New,City Road,Dry,Clear,Afternoon,5,40,32,2,0,Moderate Accident
46,Service,Above high school,8,68,Sometimes,Sometimes,No,Bought with own money,No,New,City Road,Dry,Foggy,Morning,7,50,41,1,0,Moderate Accident
25,Service,Above high school,10,88,Sometimes,Never,Yes,Inherited,Yes,New,City Road,Wet,Rainy,Afternoon,7,40,30,2,0,Moderate Accident
32,Service,Above high school,13,48,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,City Road,Dry,Clear,Night,2,50,40,3,0,Moderate Accident
62,Service,Above high school,10,70,Sometimes,Never,No,Bought with own money,Yes,Old,City Road,Dry,Foggy,Afternoon,1,50,36,1,0,Moderate Accident
65,Service,Above high school,15,32,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,City Road,Wet,Rainy,Noon,7,50,39,2,0,Moderate Accident
59,Service,Above high school,6,60,Sometimes,Never,Yes,Bought with own money,No,Old,City Road,Dry,Clear,Afternoon,1,50,39,2,0,Moderate Accident
51,Service,Above high school,12,47,Sometimes,Sometimes,No,Inherited,Yes,New,City Road,Dry,Foggy,Evening,2,50,40,3,0,Moderate Accident
32,Service,Above high school,13,68,Sometimes,Never,Yes,Bought with own money,Yes,New,City Road,Wet,Rainy,Morning,4,50,39,1,0,Moderate Accident
26,Service,Above high school,14,51,Never,Sometimes,Yes,Bought with own money,Yes,New,City Road,Dry,Clear,Afternoon,8,50,50,1,0,Moderate Accident
64,Service,Above high school,13,97,Sometimes,Never,No,Bought with own money,No,New,City Road,Dry,Foggy,Night,2,50,39,3,0,Moderate Accident
34,Service,Above high school,8,100,Sometimes,Sometimes,Yes,Bought with own money,No,Old,City Road,Wet,Rainy,Afternoon,5,50,39,3,0,Moderate Accident
54,Service,Above high school,5,81,Sometimes,Never,Yes,Inherited,Yes,New,City Road,Dry,Clear,Noon,3,50,36,3,0,Moderate Accident
37,Service,Above high school,4,46,Never,Sometimes,No,Bought with own money,Yes,Old,City Road,Dry,Foggy,Afternoon,6,50,50,2,0,Moderate Accident
32,Service,Above high school,6,40,Never,Never,Yes,Bought with own money,Yes,New,City Road,Wet,Rainy,Morning,3,50,50,1,0,Moderate Accident
45,Service,Above high school,1,95,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,City Road,Dry,Clear,Afternoon,1,40,26,3,0,Moderate Accident
41,Service,Above high school,2,64,Sometimes,Never,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Night,2,40,32,3,0,Moderate Accident
48,Service,Above high school,14,34,Never,Sometimes,Yes,Inherited,Yes,New,City Road,Wet,Rainy,Afternoon,1,50,50,1,0,Moderate Accident
39,Service,Above high school,2,74,Sometimes,Never,Yes,Bought with own money,Yes,Old,City Road,Dry,Clear,Noon,6,50,45,1,0,Moderate Accident
29,Service,Above high school,7,96,Sometimes,Sometimes,No,Bought with own money,No,New,City Road,Dry,Foggy,Afternoon,8,50,39,3,0,Moderate Accident
31,Service,Above high school,13,71,Sometimes,Never,Yes,Bought with own money,Yes,Old,City Road,Wet,Rainy,Evening,3,60,50,2,0,Moderate Accident
33,Service,Above high school,0,31,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,City Road,Dry,Clear,Morning,8,60,51,1,0,Moderate Accident
36,Service,Above high school,12,57,Sometimes,Never,No,Inherited,Yes,New,City Road,Dry,Foggy,Afternoon,7,40,26,3,0,Moderate Accident
38,Service,Above high school,1,37,Sometimes,Sometimes,Yes,Bought with own money,No,New,City Road,Wet,Rainy,Night,8,50,40,1,0,Moderate Accident
58,Service,Above high school,4,92,Never,Never,Yes,Bought with own money,Yes,New,City Road,Dry,Clear,Afternoon,4,50,50,2,0,Moderate Accident
65,Service,Above high school,5,36,Never,Sometimes,No,Bought with own money,Yes,Old,City Road,Dry,Foggy,Noon,2,50,50,1,0,Moderate Accident
31,Service,Above high school,10,90,Sometimes,Never,Yes,Bought with own money,Yes,New,City Road,Wet,Rainy,Afternoon,8,50,43,1,0,Moderate Accident
44,Service,Above high school,15,80,Sometimes,Sometimes,Yes,Inherited,Yes,Old,City Road,Dry,Clear,Morning,6,40,30,2,1,Moderate Accident
28,Service,Above high school,13,99,Sometimes,Never,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Afternoon,8,50,43,3,0,Moderate Accident
38,Service,Above high school,15,87,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,City Road,Wet,Rainy,Night,1,60,54,1,0,Moderate Accident
41,Service,Above high school,4,77,Sometimes,Never,Yes,Bought with own money,Yes,New,City Road,Dry,Clear,Afternoon,3,60,50,2,0,Moderate Accident
41,Service,Above high school,11,57,Sometimes,Sometimes,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Noon,8,50,42,1,0,Moderate Accident
26,Service,Above high school,15,52,Sometimes,Never,Yes,Inherited,Yes,Old,City Road,Wet,Rainy,Afternoon,3,50,44,1,0,Moderate Accident
38,Service,Above high school,11,46,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,City Road,Dry,Clear,Evening,7,50,45,2,0,Moderate Accident
55,Service,Above high school,5,34,Sometimes,Never,No,Bought with own money,No,Old,City Road,Dry,Foggy,Morning,4,50,39,2,0,Moderate Accident
26,Service,Above high school,14,75,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,City Road,Wet,Rainy,Afternoon,6,50,40,3,0,Moderate Accident
34,Service,Above high school,8,38,Sometimes,Never,Yes,Bought with own money,Yes,New,City Road,Dry,Clear,Night,2,60,46,3,0,Moderate Accident
30,Service,Above high school,4,52,Sometimes,Sometimes,No,Inherited,Yes,New,City Road,Dry,Foggy,Afternoon,6,50,43,1,0,Moderate Accident
50,Service,Above high school,12,70,Sometimes,Never,Yes,Bought with own money,No,New,City Road,Wet,Rainy,Noon,4,50,45,2,0,Moderate Accident
33,Service,Above high school,7,32,Sometimes,Sometimes,Yes,Bought with own money,No,Old,City Road,Dry,Clear,Afternoon,3,50,45,3,0,Moderate Accident
61,Service,Above high school,11,93,Sometimes,Never,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Morning,7,40,29,3,0,Moderate Accident
26,Service,Above high school,9,46,Sometimes,Sometimes,Yes,Bought with own money,Yes,Old,City Road,Wet,Rainy,Afternoon,1,40,32,3,0,Moderate Accident
29,Service,Above high school,8,56,Sometimes,Never,Yes,Inherited,Yes,New,City Road,Dry,Clear,Night,7,50,40,1,0,Moderate Accident
29,Service,Above high school,3,64,Sometimes,Sometimes,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Afternoon,4,50,40,3,0,Moderate Accident
33,Service,Above high school,7,30,Sometimes,Never,Yes,Bought with own money,Yes,New,City Road,Wet,Rainy,Noon,1,60,54,2,0,Moderate Accident
28,Service,Above high school,7,67,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,City Road,Dry,Clear,Afternoon,2,50,44,3,0,Moderate Accident
48,Service,Above high school,8,61,Sometimes,Never,No,Bought with own money,Yes,Old,City Road,Dry,Foggy,Evening,4,40,31,3,0,Moderate Accident
50,Service,Above high school,9,80,Never,Sometimes,Yes,Inherited,Yes,New,City Road,Wet,Rainy,Morning,2,50,50,3,0,Moderate Accident
37,Service,Above high school,5,66,Sometimes,Never,Yes,Bought with own money,No,Old,City Road,Dry,Clear,Afternoon,6,50,41,3,0,Moderate Accident
39,Service,Above high school,2,57,Sometimes,Sometimes,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Night,7,50,37,1,0,Moderate Accident
52,Service,Above high school,8,34,Sometimes,Never,Yes,Bought with own money,Yes,New,City Road,Wet,Rainy,Afternoon,3,40,34,2,0,Moderate Accident
56,Service,Above high school,5,83,Sometimes,Sometimes,Yes,Bought with own money,No,New,City Road,Dry,Clear,Noon,1,50,43,1,0,Moderate Accident
64,Service,Above high school,9,31,Sometimes,Never,No,Inherited,Yes,New,City Road,Dry,Foggy,Afternoon,6,60,53,2,0,Moderate Accident
29,Service,Above high school,4,64,Sometimes,Sometimes,Yes,Bought with own money,Yes,Old,City Road,Wet,Rainy,Morning,6,50,39,1,0,Moderate Accident
34,Service,Above high school,3,78,Sometimes,Never,Yes,Bought with own money,Yes,New,City Road,Dry,Clear,Afternoon,3,40,26,1,0,Moderate Accident
36,Service,Above high school,12,68,Sometimes,Sometimes,No,Bought with own money,Yes,Old,City Road,Dry,Foggy,Night,3,50,35,3,0,Moderate Accident
49,Service,Above high school,11,66,Sometimes,Never,Yes,Bought with own money,Yes,New,City Road,Wet,Rainy,Afternoon,3,40,30,2,0,Moderate Accident
51,Service,Above high school,11,57,Sometimes,Sometimes,Yes,Inherited,Yes,New,City Road,Dry,Clear,Noon,5,60,54,3,0,Moderate Accident
53,Service,Above high school,6,73,Sometimes,Never,No,Bought with own money,No,New,City Road,Dry,Foggy,Afternoon,3,50,43,3,0,Moderate Accident
30,Service,Above high school,6,95,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,City Road,Wet,Rainy,Evening,6,50,38,3,0,Moderate Accident
42,Service,Above high school,10,36,Sometimes,Never,Yes,Bought with own money,Yes,Old,City Road,Dry,Clear,Morning,7,50,41,1,0,Moderate Accident
31,Service,Above high school,9,44,Sometimes,Sometimes,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Afternoon,2,50,40,1,0,Moderate Accident
48,Service,Above high school,5,54,Sometimes,Never,Yes,Inherited,No,Old,City Road,Wet,Rainy,Night,5,50,35,1,0,Moderate Accident
46,Service,Above high school,14,81,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,City Road,Dry,Clear,Afternoon,8,50,43,3,0,Moderate Accident
38,Service,Above high school,3,33,Sometimes,Never,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Noon,6,60,49,1,0,Moderate Accident
64,Service,Above high school,3,56,Sometimes,Sometimes,Yes,Bought with own money,No,New,City Road,Wet,Rainy,Afternoon,8,50,38,1,0,Moderate Accident
65,Service,Above high school,9,31,Sometimes,Never,Yes,Bought with own money,Yes,New,City Road,Dry,Clear,Morning,1,50,37,1,0,Moderate Accident
57,Service,Above high school,4,50,Sometimes,Sometimes,No,Inherited,Yes,Old,City Road,Dry,Foggy,Afternoon,4,40,26,2,0,Moderate Accident
54,Service,Above high school,11,45,Sometimes,Never,Yes,Bought with own money,No,New,City Road,Wet,Rainy,Night,5,50,39,1,0,Moderate Accident
41,Service,Above high school,7,88,Sometimes,Sometimes,Yes,Bought with own money,Yes,Old,City Road,Dry,Clear,Afternoon,5,50,38,2,0,Moderate Accident
51,Service,Above high school,0,88,Sometimes,Never,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Noon,3,50,39,3,0,Moderate Accident
28,Service,Above high school,7,58,Never,Sometimes,Yes,Bought with own money,Yes,New,City Road,Wet,Rainy,Afternoon,1,50,50,1,0,Moderate Accident
64,Service,Above high school,1,54,Sometimes,Never,Yes,Inherited,Yes,New,City Road,Dry,Clear,Evening,8,40,25,3,0,Moderate Accident
26,Service,Above high school,3,72,Sometimes,Sometimes,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Morning,8,50,39,2,0,Moderate Accident
29,Service,Above high school,5,52,Sometimes,Never,Yes,Bought with own money,Yes,Old,City Road,Wet,Rainy,Afternoon,8,50,42,2,0,Moderate Accident
31,Service,Above high school,1,95,Sometimes,Sometimes,Yes,Bought with own money,No,New,City Road,Dry,Clear,Night,3,50,39,1,0,Moderate Accident
60,Service,Above high school,6,35,Sometimes,Never,No,Bought with own money,No,Old,City Road,Dry,Foggy,Afternoon,7,50,44,2,0,Moderate Accident
58,Service,Above high school,6,75,Sometimes,Sometimes,Yes,Inherited,Yes,New,City Road,Wet,Rainy,Noon,8,60,49,2,0,Moderate Accident
61,Service,Above high school,13,34,Sometimes,Never,Yes,Bought with own money,Yes,New,City Road,Dry,Clear,Afternoon,5,50,40,2,0,Moderate Accident
57,Service,Above high school,7,34,Sometimes,Sometimes,No,Bought with own money,No,New,City Road,Dry,Foggy,Morning,6,50,38,2,0,Moderate Accident
46,Service,Above high school,6,84,Sometimes,Never,Yes,Bought with own money,No,New,City Road,Wet,Rainy,Afternoon,5,50,44,3,0,Moderate Accident
34,Service,Above high school,5,79,Sometimes,Sometimes,Yes,Bought with own money,No,Old,City Road,Dry,Clear,Night,5,50,35,3,1,Moderate Accident
31,Service,Above high school,14,85,Sometimes,Never,No,Inherited,Yes,New,City Road,Dry,Foggy,Afternoon,1,60,48,1,0,Moderate Accident
31,Service,Above high school,12,93,Sometimes,Sometimes,Yes,Bought with own money,No,Old,City Road,Wet,Rainy,Noon,5,50,39,2,0,Moderate Accident
34,Service,Above high school,8,38,Sometimes,Never,Yes,Bought with own money,Yes,New,City Road,Dry,Clear,Afternoon,8,50,43,1,0,Moderate Accident
47,Service,Above high school,9,90,Sometimes,Sometimes,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Evening,2,50,36,1,0,Moderate Accident
26,Service,Above high school,3,58,Sometimes,Never,Yes,Bought with own money,Yes,New,City Road,Wet,Rainy,Morning,8,50,38,2,0,Moderate Accident
